↑↓	↑↓	↑↓
CZ	128×	4.07%
ZW	100×	3.18%
FJ	72×	2.29%
NJ	68×	2.16%
JC	51×	1.62%
KW	49×	1.56%
KN	48×	1.53%
LC	48×	1.53%
WL	48×	1.53%
WK	43×	1.37%
JY	42×	1.34%
WF	41×	1.3%
XB	39×	1.24%
WJ	38×	1.21%
EW	36×	1.15%
XJ	35×	1.11%
FK	34×	1.08%
XH	30×	0.95%
WC	29×	0.92%
XK	28×	0.89%
NA	28×	0.89%
KX	28×	0.89%
FL	28×	0.89%
LF	27×	0.86%
WA	26×	0.83%
CW	26×	0.83%
FV	26×	0.83%
CN	25×	0.8%
VF	25×	0.8%
FC	25×	0.8%
AF	23×	0.73%
JL	22×	0.7%
NL	22×	0.7%
JF	21×	0.67%
FE	21×	0.67%
WN	21×	0.67%
JP	21×	0.67%
AX	21×	0.67%
ZF	21×	0.67%
LW	21×	0.67%
LX	21×	0.67%
UW	20×	0.64%
WY	20×	0.64%
CX	20×	0.64%
WV	20×	0.64%
LN	19×	0.6%
KC	19×	0.6%
NC	19×	0.6%
ZN	18×	0.57%
VW	17×	0.54%
BC	17×	0.54%
AW	17×	0.54%
WU	16×	0.51%
EF	16×	0.51%
NX	16×	0.51%
KL	16×	0.51%
JA	15×	0.48%
OW	15×	0.48%
ZX	15×	0.48%
HJ	15×	0.48%
HC	15×	0.48%
WW	14×	0.45%
VV	14×	0.45%
NV	14×	0.45%
YL	14×	0.45%
YN	14×	0.45%
FY	14×	0.45%
HL	14×	0.45%
KF	14×	0.45%
NU	14×	0.45%
CC	14×	0.45%
WX	14×	0.45%
HK	13×	0.41%
VN	13×	0.41%
XE	13×	0.41%
YC	13×	0.41%
XG	13×	0.41%
JX	13×	0.41%
UN	12×	0.38%
NE	12×	0.38%
YW	12×	0.38%
EX	12×	0.38%
JW	12×	0.38%
FO	12×	0.38%
NK	11×	0.35%
VX	11×	0.35%
PW	11×	0.35%
XC	11×	0.35%
LG	11×	0.35%
YO	11×	0.35%
WE	11×	0.35%
LL	11×	0.35%
AN	11×	0.35%
RC	10×	0.32%
ZH	10×	0.32%
AH	10×	0.32%
NW	10×	0.32%
PN	10×	0.32%
VC	10×	0.32%
GW	10×	0.32%
AZ	10×	0.32%
CK	10×	0.32%
KJ	10×	0.32%
CF	9×	0.29%
NY	9×	0.29%
VR	9×	0.29%
WG	9×	0.29%
WR	9×	0.29%
CH	8×	0.25%
QZ	8×	0.25%
WB	8×	0.25%
OR	8×	0.25%
BN	8×	0.25%
FA	8×	0.25%
YF	8×	0.25%
AC	8×	0.25%
WO	8×	0.25%
QJ	8×	0.25%
NF	8×	0.25%
